RGP - count-left-right.py
3328
 3357co2     Oc  284   3.626   1.811  35.536    0
 3357co2     Oc  285   0.090   1.995  35.538    0
 3358co2     Co  286   3.284   3.190  29.805    2
 3358co2     Oc  287   3.180   3.217  29.849    2
 3358co2     Oc  288   3.385   3.145  29.766    2
 3359co2     Co  289   0.829   1.855  30.435    2
 3359co2     Oc  290   0.765   1.886  30.525    2
 3359co2     Oc  291   0.884   1.821  30.343    2
 3360co2     Co  292   0.362   0.308  18.601    1
 3360co2     Oc  293   0.477   0.309  18.577    1
 3360co2     Oc  294   0.242   0.322  18.634    1
 3361co2     Co  295   0.787   3.361  11.691    0
 3361co2     Oc  296   0.841   3.268  11.641    0
 3361co2     Oc  297   0.740   3.441  11.753    0
 3362co2     Co  298   1.358   4.157  18.703    1
 3362co2     Oc  299   1.311   4.193  18.598    1
 3362co2     Oc  300   1.377   4.133  18.815    1
 3363co2     Co  301   2.960   3.401  17.096    1
 3363co2     Oc  302   2.850   3.368  17.124    1
 3363co2     Oc  303   3.072   3.424  17.075    1
 3364co2     Co  304   2.971   4.218   6.216    0
 3364co2     Oc  305   3.016   4.258   6.313    0
 3364co2     Oc  306   2.916   4.171   6.125    0
 3365co2     Co  307   1.117   4.177  13.259    0
 3365co2     Oc  308   1.216   4.118  13.261    0
 3365co2     Oc  309   1.023   4.244  13.279    0
 3366co2     Co  310   2.983   0.783  40.007    0
 3366co2     Oc  311   2.973   0.883  40.074    0
 3366co2     Oc  312   2.979   0.686  39.941    0
 3367co2     Co  313   0.542   2.687  42.602    0
 3367co2     Oc  314   0.466   2.656  42.524    0
 3367co2     Oc  315   0.617   2.696  42.694    0
 3368co2     Co  316   0.447   2.499  47.673    0
 3368co2     Oc  317   0.549   2.443  47.675    0
 3368co2     Oc  318   0.344   2.549  47.676    0
 3369co2     Co  319   3.573   4.156  18.113    1
 3369co2     Oc  320   3.590   4.112  18.221    1
 3369co2     Oc  321   3.572   4.189  18.006    1
 3370co2     Co  322   1.596   1.907  30.740    2
 3370co2     Oc  323   1.476   1.924  30.742    2
 3370co2     Oc  324   1.710   1.919  30.739    2
 3371co2     Co  325   2.771   1.871  30.705    2
 3371co2     Oc  326   2.774   1.812  30.612    2
 3371co2     Oc  327   2.752   1.912  30.809    2
 3372co2     Co  328   1.599   1.488  34.380    0
 3372co2     Oc  329   1.563   1.510  34.487    0
 3372co2     Oc  330   1.648   1.481  34.275    0
 3373co2     Co  331   2.911   2.909  32.022    0
 3373co2     Oc  332   2.921   3.012  32.078    0
 3373co2     Oc  333   2.899   2.806  31.970    0
 3374co2     Co  334   1.752   4.139  30.675    2
 3374co2     Oc  335   1.703   4.044  30.714    2
 3374co2     Oc  336   1.789   4.233  30.619    2
 3375co2     Co  337   0.150   4.150  30.298    2
 3375co2     Oc  338   0.253   4.131  30.345    2
 3375co2     Oc  339   0.056   4.189  30.247    2
 3376co2     Co  340   0.297   1.885  30.201    2
 3376co2     Oc  341   0.347   1.899  30.307    2
 3376co2     Oc  342   0.241   1.893  30.099    2
 3377co2     Co  343   1.959   0.891   3.164    0
 3377co2     Oc  344   1.860   0.914   3.105    0
 3377co2     Oc  345   2.069   0.882   3.204    0
 3378co2     Co  346   1.679   1.844  17.532    1
 3378co2     Oc  347   1.607   1.873  17.446    1
 3378co2     Oc  348   1.750   1.826  17.620    1
 3379co2     Co  349   0.999   3.769  10.106    0
 3379co2     Oc  350   0.946   3.730  10.200    0
 3379co2     Oc  351   1.058   3.811  10.020    0
 3380co2     Co  352   0.548   3.325   0.909    0
 3380co2     Oc  353   0.627   3.339   0.828    0
 3380co2     Oc  354   0.473   3.310   0.994    0
 3381co2     Co  355   1.530   1.876  24.211    0
 3381co2     Oc  356   1.442   1.881  24.128    0
 3381co2     Oc  357   1.613   1.893  24.290    0
 3382co2     Co  358   0.977   4.149  17.633    1
 3382co2     Oc  359   1.091   4.173  17.622    1
 3382co2     Oc  360   0.863   4.135  17.634    1
 3383co2     Co  361   2.277   0.090  23.418    1
 3383co2     Oc  362   2.236   0.080  23.311    1
 3383co2     Oc  363   2.339   0.127  23.508    1
 3384co2     Co  364   1.016   1.844   1.158    0
 3384co2     Oc  365   1.104   1.823   1.083    0
 3384co2     Oc  366   0.934   1.857   1.235    0
 3385co2     Co  367   3.615   4.093  31.521    0
 3385co2     Oc  368   3.667   4.075  31.622    0
 3385co2     Oc  369   3.572   4.107  31.417    0
 3386co2     Co  370   2.461   0.576   5.757    0
 3386co2     Oc  371   2.364   0.521   5.783    0
 3386co2     Oc  372   2.571   0.617   5.745    0
 3387co2     Co  373   3.066   1.789  22.795    0
 3387co2     Oc  374   3.158   1.854  22.823    0
 3387co2     Oc  375   2.981   1.708  22.777    0
 3388co2     Co  376   1.477   1.549  10.396    0
 3388co2     Oc  377   1.391   1.588  10.331    0
 3388co2     Oc  378   1.568   1.506  10.448    0
 3389co2     Co  379   0.529   3.454  36.760    0
 3389co2     Oc  380   0.433   3.397  36.720    0
 3389co2     Oc  381   0.621   3.507  36.804    0
 3390co2     Co  382   2.724   1.738  39.949    0
 3390co2     Oc  383   2.833   1.699  39.919    0
 3390co2     Oc  384   2.619   1.769  39.979    0
 3391co2     Co  385   3.287   2.013  10.591    0
 3391co2     Oc  386   3.220   2.049  10.504    0
 3391co2     Oc  387   3.360   1.978  10.671    0
 3392co2     Co  388   3.019   0.546  35.679    0
 3392co2     Oc  389   2.921   0.554  35.616    0
 3392co2     Oc  390   3.113   0.549  35.743    0
 3393co2     Co  391   3.373   4.082  17.709    1
 3393co2     Oc  392   3.317   4.081  17.814    1
 3393co2     Oc  393   3.434   4.106  17.611    1
 3394co2     Co  394   0.812   0.223  26.171    1
 3394co2     Oc  395   0.838   0.218  26.278    1
 3394co2     Oc  396   0.797   0.220  26.055    1
 3395co2     Co  397   0.748   3.213  44.197    0
 3395co2     Oc  398   0.780   3.137  44.276    0
 3395co2     Oc  399   0.716   3.279  44.106    0
 3396co2     Co  400   2.455   3.395  10.130    0
 3396co2     Oc  401   2.526   3.477  10.090    0
 3396co2     Oc  402   2.359   3.331  10.152    0
 3397co2     Co  403   3.312   4.111  17.167    1
 3397co2     Oc  404   3.386   4.079  17.251    1
 3397co2     Oc  405   3.247   4.138  17.074    1
