RGP - count-left-right.py
12428
 3428co2     Oc  498   2.148   1.173  16.463    0
 3429co2     Co  499   0.870   1.479  38.913    0
 3429co2     Oc  500   0.887   1.530  39.012    0
 3429co2     Oc  501   0.844   1.408  38.821    0
 3430co2     Co  502   2.334   0.247   8.307    0
 3430co2     Oc  503   2.387   0.319   8.239    0
 3430co2     Oc  504   2.274   0.193   8.382    0
 3431co2     Co  505   2.861   1.865  18.277    1
 3431co2     Oc  506   2.949   1.844  18.354    1
 3431co2     Oc  507   2.781   1.889  18.200    1
 3432co2     Co  508   3.136   0.162  43.872    0
 3432co2     Oc  509   3.157   0.219  43.771    0
 3432co2     Oc  510   3.110   0.116  43.971    0
 3433co2     Co  511   1.919   0.491  21.258    0
 3433co2     Oc  512   1.813   0.441  21.252    0
 3433co2     Oc  513   2.029   0.536  21.274    0
 3434co2     Co  514   0.174   3.836  47.527    0
 3434co2     Oc  515   0.112   3.908  47.587    0
 3434co2     Oc  516   0.231   3.758  47.462    0
 3435co2     Co  517   1.350   1.916  32.124    0
 3435co2     Oc  518   1.282   1.996  32.166    0
 3435co2     Oc  519   1.424   1.844  32.065    0
 3436co2     Co  520   2.831   3.077  37.132    0
 3436co2     Oc  521   2.755   3.147  37.179    0
 3436co2     Oc  522   2.914   3.013  37.086    0
 3437co2     Co  523   2.162   1.069  28.017    0
 3437co2     Oc  524   2.243   1.018  27.954    0
 3437co2     Oc  525   2.085   1.109  28.091    0
 3438co2     Co  526   2.507   1.908  18.330    1
 3438co2     Oc  527   2.542   1.881  18.437    1
 3438co2     Oc  528   2.500   1.939  18.214    1
 3439co2     Co  529   1.232   0.636  14.714    0
 3439co2     Oc  530   1.206   0.554  14.642    0
 3439co2     Oc  531   1.248   0.714  14.799    0
 3440co2     Co  532   2.041   0.923  17.117    1
 3440co2     Oc  533   2.099   1.020  17.147    1
 3440co2     Oc  534   1.982   0.824  17.090    1
 3441co2     Co  535   1.243   0.415  36.294    0
 3441co2     Oc  536   1.269   0.391  36.403    0
 3441co2     Oc  537   1.226   0.442  36.183    0
 3442co2     Co  538   1.049   2.806  35.363    0
 3442co2     Oc  539   1.062   2.913  35.322    0
 3442co2     Oc  540   1.038   2.699  35.404    0
 3443co2     Co  541   3.014   1.779  47.014    0
 3443co2     Oc  542   2.977   1.863  46.950    0
 3443co2     Oc  543   3.049   1.693  47.076    0
