 3398co2;     Oc;  407;   2.983;   0.508;  33.192
 3398co2;     Oc;  408;   2.913;   0.381;  33.366
 3399co2;     Co;  409;   2.946;   0.135;  22.728
 3399co2;     Oc;  410;   2.862;   0.208;  22.761
 3399co2;     Oc;  411;   3.026;   0.060;  22.697
 3400co2;     Co;  412;   2.662;   2.018;  25.967
 3400co2;     Oc;  413;   2.760;   2.027;  26.027
 3400co2;     Oc;  414;   2.558;   1.993;  25.917
 3401co2;     Co;  415;   1.121;   2.554;  29.921
 3401co2;     Oc;  416;   1.107;   2.510;  29.814
 3401co2;     Oc;  417;   1.119;   2.589;  30.031
 3402co2;     Co;  418;   1.386;   1.844;  18.148
 3402co2;     Oc;  419;   1.474;   1.838;  18.224
 3402co2;     Oc;  420;   1.288;   1.845;  18.085
 3403co2;     Co;  421;   1.690;   0.227;   8.396
 3403co2;     Oc;  422;   1.768;   0.308;   8.361
 3403co2;     Oc;  423;   1.613;   0.146;   8.413
 3404co2;     Co;  424;   3.524;   2.384;  21.470
 3404co2;     Oc;  425;   3.638;   2.389;  21.502
 3404co2;     Oc;  426;   3.407;   2.375;  21.444
 3405co2;     Co;  427;   0.338;   4.125;  17.675
 3405co2;     Oc;  428;   0.395;   4.173;  17.592
 3405co2;     Oc;  429;   0.268;   4.079;  17.763
 3406co2;     Co;  430;   0.451;   3.058;  25.424
 3406co2;     Oc;  431;   0.526;   3.008;  25.346
 3406co2;     Oc;  432;   0.373;   3.100;  25.500
 3407co2;     Co;  433;   1.714;   2.930;  30.451
 3407co2;     Oc;  434;   1.814;   2.864;  30.458
 3407co2;     Oc;  435;   1.614;   2.995;  30.449
 3408co2;     Co;  436;   0.555;   2.573;   3.708
 3408co2;     Oc;  437;   0.439;   2.573;   3.704
 3408co2;     Oc;  438;   0.668;   2.579;   3.713
 3409co2;     Co;  439;   2.755;   1.871;  30.532
 3409co2;     Oc;  440;   2.740;   1.870;  30.650
 3409co2;     Oc;  441;   2.762;   1.858;  30.413
 3410co2;     Co;  442;   2.263;   3.480;   9.677
 3410co2;     Oc;  443;   2.310;   3.537;   9.764
 3410co2;     Oc;  444;   2.216;   3.420;   9.591
 3411co2;     Co;  445;   1.479;   1.904;   4.475
 3411co2;     Oc;  446;   1.456;   1.813;   4.546
 3411co2;     Oc;  447;   1.496;   2.002;   4.420
 3412co2;     Co;  448;   0.368;   3.499;  19.833
 3412co2;     Oc;  449;   0.374;   3.574;  19.920
 3412co2;     Oc;  450;   0.381;   3.415;  19.751
 3413co2;     Co;  451;   2.491;   3.776;  43.876
 3413co2;     Oc;  452;   2.384;   3.757;  43.927
 3413co2;     Oc;  453;   2.596;   3.796;  43.839
 3414co2;     Co;  454;   2.936;   4.126;  18.816
 3414co2;     Oc;  455;   2.997;   4.194;  18.741
 3414co2;     Oc;  456;   2.886;   4.058;  18.889
 3415co2;     Co;  457;   0.958;   4.422;  43.647
 3415co2;     Oc;  458;   0.941;   4.342;  43.563
 3415co2;     Oc;  459;   0.972;   0.005;  43.733
 3416co2;     Co;  460;   1.881;   0.863;  22.603
 3416co2;     Oc;  461;   1.916;   0.871;  22.713
 3416co2;     Oc;  462;   1.832;   0.867;  22.499
 3417co2;     Co;  463;   1.980;   2.234;  25.430
 3417co2;     Oc;  464;   1.932;   2.214;  25.321
 3417co2;     Oc;  465;   2.042;   2.257;  25.522
 3418co2;     Co;  466;   1.076;   2.318;   4.358
 3418co2;     Oc;  467;   1.046;   2.429;   4.363
 3418co2;     Oc;  468;   1.097;   2.204;   4.353
 3419co2;     Co;  469;   0.006;   4.411;  33.820
 3419co2;     Oc;  470;   0.022;   4.320;  33.883
 3419co2;     Oc;  471;   3.659;   0.006;  33.762
 3420co2;     Co;  472;   1.782;   3.725;  16.645
 3420co2;     Oc;  473;   1.673;   3.685;  16.662
 3420co2;     Oc;  474;   1.892;   3.764;  16.645
 3421co2;     Co;  475;   2.805;   2.596;  15.899
 3421co2;     Oc;  476;   2.889;   2.589;  15.821
 3421co2;     Oc;  477;   2.729;   2.607;  15.997
 3422co2;     Co;  478;   2.863;   0.748;  24.535
 3422co2;     Oc;  479;   2.945;   0.784;  24.598
 3422co2;     Oc;  480;   2.784;   0.717;  24.449
 3423co2;     Co;  481;   2.697;   1.920;  31.424
 3423co2;     Oc;  482;   2.591;   1.892;  31.379
 3423co2;     Oc;  483;   2.806;   1.941;  31.470
 3424co2;     Co;  484;   2.932;   4.094;  18.287
 3424co2;     Oc;  485;   3.031;   4.059;  18.346
 3424co2;     Oc;  486;   2.850;   4.143;  18.221
 3425co2;     Co;  487;   0.564;   1.814;  31.522
 3425co2;     Oc;  488;   0.610;   1.814;  31.628
